"Symbol","Outcome","Risk","PlannedRR","CostR","GrossR","NetR","HoldBars"
"EURUSD","loss","0.000268799999999958","2","0.654166666666085","-1","-1.65416666666609","1"
"EURUSD","loss","0.000213600000000369","1.99999999999688","0.788764044943101","-1","-1.78876404494392","2"
"EURUSD","loss","0.000213599999999925","2","0.788764044944741","-1","-1.78876404494474","1"
"EURUSD","win","0.000597600000000087","1.99999999999963","0.367603748326308","1.99999999999963","1.63239625167332","2"
"EURUSD","win","0.000439199999999973","2","0.452094717668169","2","1.54790528233234","1"
"EURUSD","loss","0.000391199999999925","2","0.49120654396765","-1","-1.49120654396765","1"
"EURUSD","win","0.000348000000000015","2","0.535632183908112","2","1.46436781609189","7"
"EURUSD","win","0.000141600000000075","2","1.12994350282225","2","0.87005649717461","1"
"EURUSD","loss","0.000240000000000018","2","0.716666666666867","-1","-1.71666666666687","3"
"EURUSD","win","0.000755999999999979","2.00000000000029","0.318518518518288","2.00000000000029","1.68148148148171","1"
"EURUSD","loss","0.000727200000000039","1.99999999999969","0.325852585258596","-1","-1.3258525852586","1"
"EURUSD","win","0.00051840000000003","2","0.403395061727636","2","1.59660493827151","1"
"EURUSD","win","0.000223199999999979","2","0.760573476702167","2","1.23942652329783","1"
"EURUSD","loss","0.000309600000000021","1.99999999999857","0.585529715762433","-1","-1.58552971576243","1"
"EURUSD","loss","0.0001776","1.99999999999875","0.921621621621618","-1","-1.92162162162162","1"
"EURUSD","win","0.000218400000000063","1.99999999999898","0.774358974357838","1.99999999999898","1.22564102564115","1"
"EURUSD","win","0.00020639999999994","2.00000000000108","0.811627906977943","2.00000000000108","1.18837209302313","1"
"EURUSD","win","0.000160799999999961","2","1.00398009950177","2","0.996019900498226","1"
"EURUSD","loss","0.000530399999999931","2.00000000000042","0.397285067872722","-1","-1.39728506787356","1"
"EURUSD","loss","0.000520800000000099","1.99999999999957","0.402150537634129","-1","-1.40215053763413","1"
"EURUSD","win","0.000503999999999838","2.00000000000044","0.41111111111161","2.00000000000044","1.58888888888883","1"
"GBPUSD","loss","0.00029760000000012","1.99999999999925","0.680913978494083","-1","-1.68091397849408","1"
"GBPUSD","loss","0.000288000000000066","2","0.698611111110223","-1","-1.69861111111022","1"
"GBPUSD","win","0.000744000000000078","1.9999999999997","0.362365591397487","1.9999999999997","1.63763440860162","1"
"GBPUSD","win","0.000554400000000177","1.9999999999992","0.434992784992378","1.9999999999992","1.56500721500745","1"
"GBPUSD","loss","0.000477600000000189","2","0.48082077051937","-1","-1.48082077051959","1"
"GBPUSD","win","0.000451199999999874","2.00000000000049","0.5001773049642","2.00000000000049","1.49982269503629","1"
"GBPUSD","win","0.000211200000000078","1.99999999999895","0.937500000000329","1.99999999999895","1.06249999999862","1"
"GBPUSD","loss","0.000333600000000045","2","0.623621103117317","-1","-1.62362110311732","1"
"GBPUSD","win","0.00078239999999985","2.00000000000028","0.351942740286156","2.00000000000028","1.64805725971413","1"
"GBPUSD","win","0.00050400000000006","1.99999999999956","0.463492063492119","1.99999999999956","1.53650793650744","1"
"GBPUSD","loss","0.000453599999999943","2","0.49832451499084","-1","-1.49832451499084","1"
"GBPUSD","loss","0.000597600000000087","2","0.414390896920946","-1","-1.41439089692095","1"
"GBPUSD","win","0.000441600000000042","1.9999999999995","0.507789855072637","1.9999999999995","1.49221014492736","2"
"GBPUSD","loss","0.000122399999999967","2.00000000000181","1.61764705882513","-1","-2.61764705882513","1"
"GBPUSD","win","0.000251999999999919","2.00000000000088","0.785714285715104","2.00000000000088","1.21428571428578","3"
