"Strategy","Executed","WinRate","NetR","AvgHoldBars","QueryMs","Timeouts","GateSkips","StageCounts","DataQuality","Error"
"orb_classic","0","0","0","0","135","0","{""volatility"":1}","{""rawSignals"":36,""warmupSkipped"":0,""invalidGeometry"":0,""setupBlocked"":35,""setupBlockReasons"":{""All nearby zones have already been tapped, No entry zone within 1.5 ATR of current price"":21,""All nearby zones have already been tapped"":5,""No entry zone within 1.5 ATR of current price"":9},""simulated"":1,""deduped"":0,""gateSkipped"":1,""gateSkipReasons"":{""volatility"":1},""heatDropped"":0,""spreadQuarantined"":0,""candlesQuarantined"":0,""executed"":0}","READY",
"watukushay_no1","2","0.5","-0.8016081638025986","3.5","73","0","{""volatility"":4,""spread"":2}","{""rawSignals"":84,""warmupSkipped"":10,""invalidGeometry"":0,""setupBlocked"":66,""setupBlockReasons"":{""All nearby zones have already been tapped"":11,""All nearby zones have already been tapped, No entry zone within 1.5 ATR of current price"":28,""No entry zone within 1.5 ATR of current price"":27},""simulated"":8,""deduped"":0,""gateSkipped"":6,""gateSkipReasons"":{""volatility"":4,""spread"":2},""heatDropped"":0,""spreadQuarantined"":0,""candlesQuarantined"":0,""executed"":2}","READY",
